path,relative_path,group,filename,extension,width,height,orientation,megapixels,entropy,contrast,luminance,bytes
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_07.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_07.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_07.jpg,.jpg,1440,1080,landscape,1.56,6.88,35.941,119.667,705467
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_08.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_08.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_08.jpg,.jpg,1440,1080,landscape,1.56,6.88,36.216,120.597,752695
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_09.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_09.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_09.jpg,.jpg,1440,1080,landscape,1.56,6.802,35.699,116.909,678832
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_10.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_10.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_10.jpg,.jpg,1440,1080,landscape,1.56,6.898,36.48,118.964,743055
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_11.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_11.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_11.jpg,.jpg,1440,1080,landscape,1.56,6.928,37.428,115.574,750134
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_12.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_12.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_12.jpg,.jpg,1440,1080,landscape,1.56,6.956,38.12,120.16,756400
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_13.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_13.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_13.jpg,.jpg,1440,1080,landscape,1.56,7.007,38.47,126.283,755939
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_14.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_14.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_14.jpg,.jpg,1080,1440,portrait,1.56,7.021,42.408,141.317,735400
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_15.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_15.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_15.jpg,.jpg,1080,1440,portrait,1.56,7.073,39.349,128.109,536265
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_16.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_16.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_16.jpg,.jpg,1080,1440,portrait,1.56,7.124,38.717,131.451,548250
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_17.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_17.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_17.jpg,.jpg,1080,1440,portrait,1.56,7.102,39.178,129.318,539005
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_18.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_18.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_18.jpg,.jpg,1080,1440,portrait,1.56,7.05,38.841,138.463,542243
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_19.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_19.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_19.jpg,.jpg,1080,1440,portrait,1.56,7.119,39.183,126.894,533381
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_20.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_20.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_20.jpg,.jpg,1080,1440,portrait,1.56,6.981,38.088,146.187,511499
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_21.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_21.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_21.jpg,.jpg,1080,1440,portrait,1.56,7.083,39.406,122.15,489412
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_22.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_22.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_22.jpg,.jpg,1080,1440,portrait,1.56,7.104,39.692,137.028,475813
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_23.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_23.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_23.jpg,.jpg,1080,1440,portrait,1.56,6.918,35.077,117.105,405767
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_24.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_24.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_24.jpg,.jpg,1080,1440,portrait,1.56,6.971,36.635,125.998,416342
